,Ano,Mes,Dia,hora,T20 Laje,T05 Ponte
288,2014,11,8,0,18.794,22.992
289,2014,11,8,1,20.007,21.246
290,2014,11,8,2,20.46,20.222
291,2014,11,8,3,20.698,21.056
292,2014,11,8,4,21.103,20.674
293,2014,11,8,5,21.032,20.531
294,2014,11,8,6,20.817,21.485
295,2014,11,8,7,20.841,21.795
296,2014,11,8,8,20.269,22.561
297,2014,11,8,9,20.15,22.082
298,2014,11,8,10,20.031,22.561
299,2014,11,8,11,20.555,22.585
300,2014,11,8,12,21.032,23.232
301,2014,11,8,13,20.65,22.345
302,2014,11,8,14,21.008,21.485
303,2014,11,8,15,21.413,20.936
304,2014,11,8,16,21.127,21.079
305,2014,11,8,17,21.413,20.96
306,2014,11,8,18,21.223,22.13
307,2014,11,8,19,20.96,22.872
308,2014,11,8,20,20.46,22.896
309,2014,11,8,21,20.507,22.848
310,2014,11,8,22,20.674,23.04
311,2014,11,8,23,20.198,22.896
312,2014,11,9,0,20.936,23.16
313,2014,11,9,1,20.317,23.472
314,2014,11,9,2,21.246,21.724
315,2014,11,9,3,21.127,21.127
316,2014,11,9,4,21.103,21.199
317,2014,11,9,5,20.865,21.39
318,2014,11,9,6,20.913,21.008
319,2014,11,9,7,21.127,21.819
320,2014,11,9,8,21.199,22.345
321,2014,11,9,9,21.223,22.011
322,2014,11,9,10,21.246,22.585
323,2014,11,9,11,21.223,22.92
324,2014,11,9,12,21.318,23.16
325,2014,11,9,13,21.27,23.016
326,2014,11,9,14,21.318,22.513
327,2014,11,9,15,21.366,21.7
328,2014,11,9,16,21.557,21.628
329,2014,11,9,17,21.939,21.366
330,2014,11,9,18,21.867,21.366
331,2014,11,9,19,21.724,22.441
332,2014,11,9,20,21.604,23.16
333,2014,11,9,21,21.294,22.848
334,2014,11,9,22,21.485,23.4
335,2014,11,9,23,21.604,23.232
336,2014,11,10,0,21.628,23.328
337,2014,11,10,1,21.581,23.256
338,2014,11,10,2,21.557,22.609
339,2014,11,10,3,21.795,21.724
340,2014,11,10,4,22.369,21.676
341,2014,11,10,5,21.963,21.724
342,2014,11,10,6,21.223,21.795
343,2014,11,10,7,21.724,21.461
344,2014,11,10,8,22.13,22.441
345,2014,11,10,9,21.987,22.537
346,2014,11,10,10,22.011,22.585
347,2014,11,10,11,21.987,23.04
348,2014,11,10,12,21.939,23.016
349,2014,11,10,13,21.963,23.328
350,2014,11,10,14,21.987,22.992
351,2014,11,10,15,22.13,22.705
352,2014,11,10,16,21.533,22.011
353,2014,11,10,17,21.485,22.345
354,2014,11,10,18,21.987,21.867
355,2014,11,10,19,22.034,22.345
356,2014,11,10,20,22.226,22.489
357,2014,11,10,21,21.867,22.8
358,2014,11,10,22,21.819,23.088
359,2014,11,10,23,22.154,23.352
360,2014,11,11,0,22.106,23.617
361,2014,11,11,1,22.154,23.641
362,2014,11,11,2,22.011,23.424
363,2014,11,11,3,22.13,22.848
364,2014,11,11,4,21.939,22.178
365,2014,11,11,5,22.034,22.25
366,2014,11,11,6,21.963,22.178
367,2014,11,11,7,22.13,22.154
368,2014,11,11,8,22.25,22.369
369,2014,11,11,9,22.106,22.968
370,2014,11,11,10,22.202,22.417
371,2014,11,11,11,22.226,23.016
372,2014,11,11,12,22.154,22.944
373,2014,11,11,13,22.154,23.4
374,2014,11,11,14,22.13,23.328
375,2014,11,11,15,22.13,23.064
376,2014,11,11,16,21.915,22.729
377,2014,11,11,17,21.891,22.417
378,2014,11,11,18,21.772,22.681
379,2014,11,11,19,21.557,22.561
380,2014,11,11,20,22.13,23.064
381,2014,11,11,21,22.154,23.4
382,2014,11,11,22,22.154,23.497
383,2014,11,11,23,22.154,23.689
384,2014,11,12,0,22.274,23.761
385,2014,11,12,1,22.011,23.737
386,2014,11,12,2,22.25,23.881
387,2014,11,12,3,21.056,23.497
388,2014,11,12,4,18.985,23.04
389,2014,11,12,5,19.27,23.04
390,2014,11,12,6,17.962,22.633
391,2014,11,12,7,18.343,22.369
392,2014,11,12,8,18.319,22.824
393,2014,11,12,9,19.698,23.448
394,2014,11,12,10,20.913,23.256
395,2014,11,12,11,20.317,23.4
396,2014,11,12,12,17.724,23.4
397,2014,11,12,13,17.962,23.16
398,2014,11,12,14,18.985,23.256
399,2014,11,12,15,19.603,23.809
400,2014,11,12,16,17.701,24.05
401,2014,11,12,17,17.439,22.753
402,2014,11,12,18,16.987,22.274
403,2014,11,12,19,17.32,22.8
404,2014,11,12,20,18.343,23.28
405,2014,11,12,21,18.366,23.208
406,2014,11,12,22,18.889,23.689
407,2014,11,12,23,20.984,23.905
408,2014,11,13,0,17.891,23.93
409,2014,11,13,1,17.296,23.978
410,2014,11,13,2,17.701,23.472
411,2014,11,13,3,19.08,23.785
412,2014,11,13,4,16.844,23.785
413,2014,11,13,5,15.986,23.424
414,2014,11,13,6,15.891,22.321
415,2014,11,13,7,15.963,22.226
416,2014,11,13,8,16.606,22.274
417,2014,11,13,9,17.463,23.593
418,2014,11,13,10,17.153,23.905
419,2014,11,13,11,18.818,23.713
420,2014,11,13,12,16.487,23.857
421,2014,11,13,13,16.296,22.992
422,2014,11,13,14,16.368,23.232
423,2014,11,13,15,17.201,24.002
424,2014,11,13,16,16.153,24.291
425,2014,11,13,17,15.605,23.665
426,2014,11,13,18,15.748,23.472
427,2014,11,13,19,15.819,23.761
428,2014,11,13,20,16.129,23.448
429,2014,11,13,21,17.772,23.978
430,2014,11,13,22,17.439,24.171
431,2014,11,13,23,18.461,24.315
432,2014,11,14,0,16.177,24.388
433,2014,11,14,1,15.843,24.098
434,2014,11,14,2,16.034,23.472
435,2014,11,14,3,16.368,23.016
436,2014,11,14,4,16.344,24.122
437,2014,11,14,5,15.796,24.339
438,2014,11,14,6,16.463,22.944
439,2014,11,14,7,18.176,23.184
440,2014,11,14,8,18.533,22.011
441,2014,11,14,9,18.913,22.992
442,2014,11,14,10,19.008,23.304
